user_id	index	user_name	url	authenticated	weibo_tag	gender	city	total_score	affect_scale	affect_rate	transfer_degree	recognition_degree	fans_fit_degree	total_repost	total_post	total_second_fans	total_star	total_reply	total_fans	pr_fans_rate	total_motherbaby_fans
2247164142	1	全球育儿大全	http://weibo.cn/u/2247164142	是	知名母婴育儿博主	女	广东	85.1	93.3	84.1	78.08	85.7	64.84	1408208	573	104982960	722440	99698	1749716	0.2196	52018
1778181861	2	日本流行每日速报	http://weibo.cn/u/1778181861	是	知名本地博主 微博海外资讯博主（日本）资讯视频博主	女	海外	83.11	84.55	88.07	81.29	83.22	71.86	203334	774	224784033	359877	93182	1594213	0.4643	854
5871697862	3	买买安利菌	http://weibo.cn/u/5871697862	是	知名时尚博主	女	北京	82.42	85.58	70.53	79.46	84.33	46.78	192771	205	145598325	470967	99623	1941311	0.3089	1342
2173825475	4	丸子安利菌	http://weibo.cn/u/2173825475	是	微博知名美食博主	女	上海     	81.8	84.46	66.24	79.86	83.5	63.91	174393	148	159957845	392362	93319	1881857	0.4545	1027
5098547539	5	买买菌	http://weibo.cn/u/5098547539	是	微博时尚达人 微博知名博主 微博签约自媒体	女	北京	81.23	86.0	75.42	76.47	82.94	45.83	148569	297	71832566	365053	85222	2762791	0.1847	2253
1914170245	6	正爱奶爸涂磊	http://weibo.cn/u/1914170245	是	著名主持人、情感导师、媒体评论人	男	北京	80.97	80.46	58.97	78.94	86.23	64.12	43242	85	128848158	711668	116479	2260494	0.2481	50485
2550491047	7	育儿妈妈说	http://weibo.cn/u/2550491047	否		女	上海	79.99	85.57	71.93	81.92	74.18	72.04	161969	228	260888826	21078	94461	2138433	0.2012	44368
5466592990	8	辣妈养娃妙计	http://weibo.cn/u/5466592990	是	知名母婴育儿博主	女	北京	78.02	83.84	77.24	78.04	73.16	57.71	104007	341	104113272	135469	14277	2263332	0.2509	1695
1655524143	9	新浪育儿	http://weibo.cn/u/1655524143	是	新浪育儿频道官方微博	女	北京	77.82	81.96	87.95	77.91	72.99	58.93	82840	767	100904412	144452	12870	1506036	0.2204	1174
1626002531	10	子瑜妈妈	http://weibo.cn/u/1626002531	是	《亲手做零食 家人放心吃》作者，公共营养师，微博签约自媒体	女	浙江     	77.52	78.02	67.99	88.89	66.18	80.24	19892	169	1355530131	47201	5371	2247977	0.0732	148817
3913887849	11	快乐宝宝	http://weibo.cn/u/3913887849	是	育儿名博 知名母婴育儿博主 微博签约自媒体	女	北京     	77.33	84.72	77.62	80.49	67.67	62.66	106772	351	185987231	28998	12302	3048971	0.2611	25313
2423757750	12	白衣山猫	http://weibo.cn/u/2423757750	是	前 浙江援疆外科副主任医师 微博签约自媒体	男	浙江     	76.73	79.16	77.28	76.5	74.84	58.4	29388	342	72396267	104345	28174	2496423	0.2697	55247
1945805232	13	辣妈教室	http://weibo.cn/u/1945805232	否		女	福建	75.83	82.3	83.36	76.35	68.89	63.15	108258	542	69774789	70489	7903	1143849	0.2038	71900
2814948734	14	育儿亲子母婴妈妈帮	http://weibo.cn/u/2814948734	否		女	海外	75.78	81.37	46.29	84.58	65.27	85.22	63018	32	488794680	13825	12169	1851495	0.2487	163650
1894059162	15	母婴亲子育儿小百科	http://weibo.cn/u/1894059162	否		女	广东     	75.65	80.23	53.29	84.02	65.61	74.63	48311	55	427903980	7764	22072	1614732	0.1717	109930
2626658043	16	怀孕280天	http://weibo.cn/u/2626658043	是	知名母婴育儿博主	女	广东     	74.23	78.74	81.76	78.35	65.11	53.71	49992	480	111995408	38692	4768	999959	0.2603	23482
1798716414	17	骚瑞婆	http://weibo.cn/u/1798716414	否		女	上海     	74.11	80.97	78.46	71.65	70.38	31.83	44405	374	22941215	76747	10997	2085565	0.053	1975
5278427062	18	我和baby的日常	http://weibo.cn/u/5278427062	是	微博知名博主	女	上海	73.92	83.49	74.4	69.62	70.3	38.25	66027	275	14203925	44829	17128	2840785	0.0049	2827
2921244020	19	育儿小智	http://weibo.cn/u/2921244020	是	育儿名博，微博签约自媒体	女	广东     	73.9	80.74	79.71	78.03	63.02	73.54	72921	411	103837020	19897	4821	1236155	0.2709	105344
3090446140	20	亲子教育第一课	http://weibo.cn/u/3090446140	是	母婴育儿博主	女	上海	73.89	78.42	48.16	86.64	59.65	85.18	18951	37	796982692	3038	9916	4129444	0.375	450633
5705372166	21	辣妈NANA的日常	http://weibo.cn/u/5705372166	是	微电商达人	女	北京	73.76	79.71	61.86	85.05	58.18	85.31	26765	106	546810096	13711	1797	3396336	0.2525	307728
1607812347	22	Nicole的生活书	http://weibo.cn/u/1607812347	是	美食旅行作家 微博签约自媒体	女	广东     	72.91	77.28	71.93	79.09	62.77	59.04	15456	228	133585004	24058	3827	3106628	0.2685	2272
2155138921	23	育儿皇后	http://weibo.cn/u/2155138921	是	育儿名博，育儿专栏作者	女	香港	72.16	79.99	80.73	78.08	58.2	72.41	64585	444	105075900	29488	928	1167510	0.3029	114777
1944554947	24	蓝妖兔子京	http://weibo.cn/u/1944554947	是	微漫画认证作者吴京，代表作品《小M系列》 微博签约自媒体	女	福建	72.11	71.43	58.34	80.25	65.72	48.65	5617	81	175669416	47994	4670	1501448	0.2581	20253
1013011303	25	niniu妈妈	http://weibo.cn/u/1013011303	是	新浪育儿名博 微博签约自媒体	女	其他     	70.63	73.75	59.12	81.29	58.07	77.87	14382	86	224398572	13456	1773	963084	0.2798	113243
1857570982	26	粥悦悦	http://weibo.cn/u/1857570982	是	绘本漫画作者 微博签约自媒体	女	广东     	70.38	71.2	65.97	74.54	65.81	72.73	18696	145	45514224	33343	6566	270918	0.3056	33199
3213060995	27	小土大橙子	http://weibo.cn/u/3213060995	是	《婴幼儿睡眠全书》作者 微博签约自媒体	女	其他     	70.38	69.77	77.32	74.16	66.06	70.55	8710	343	41540044	21970	10110	456484	0.2816	61141
3825044959	28	爱问医生科普	http://weibo.cn/u/3825044959	是	新浪爱问医生官方运营账号	女	广东     	70.13	76.44	73.04	77.23	56.88	67.05	13502	248	86004867	29140	655	2205253	0.0842	195442
1054096047	29	龚晓明医生	http://weibo.cn/u/1054096047	是	妇产科医生 中国妇产科网创始人 沃医妇产名医集团联合创始人	男	北京     	69.49	69.39	64.54	78.62	60.48	68.28	4343	130	119448384	13395	3417	904912	0.1587	97188
2116182794	30	王人平	http://weibo.cn/u/2116182794	是	育儿名博 王人平 微博签约自媒体	男	黑龙江	69.37	74.79	70.6	72.13	61.7	73.89	18260	206	25741935	27459	2555	953405	0.2441	72068
5468891022	31	崔玉涛的育学园	http://weibo.cn/u/5468891022	是	北京崔玉涛儿童健康管理中心有限公司	男	北京     	69.33	71.86	86.93	73.28	60.87	66.68	16540	710	33763488	14416	3566	383676	0.2584	32705
1086782701	32	虾米妈咪	http://weibo.cn/u/1086782701	是	儿科医生，《虾米妈咪育儿正典》作者 微博签约自媒体	女	上海	68.89	74.71	58.01	75.1	58.68	60.9	8342	79	51915984	10120	2676	2163166	0.019	120572
3881023149	33	日淘小丸子	http://weibo.cn/u/3881023149	是	知名时尚博主	女	海外     	68.78	70.3	86.71	72.35	61.54	51.59	12609	698	27096672	13033	4669	467184	0.4943	10500
2469840975	34	和睦家药师冀连梅	http://weibo.cn/u/2469840975	是	北京和睦家医院药师门诊经理 冀连梅 微博签约自媒体	女	北京	68.58	73.24	58.97	75.62	58.31	75.75	10219	85	58770880	11342	2194	1049480	0.1154	198937
2950079471	35	育儿亲子大全	http://weibo.cn/u/2950079471	否		女	广东     	68.48	74.65	90.31	65.66	63.6	60.11	52966	917	5561010	35120	3446	185367	0.1748	16102
5083082187	36	萌芽研究所BUD	http://weibo.cn/u/5083082187	是	微博育儿帐号 微博签约自媒体	女	香港     	68.46	72.72	76.69	69.23	63.03	69.28	22404	327	12960828	24808	3996	360023	0.2934	65415
5742251187	37	进击的辣妈Nina	http://weibo.cn/u/5742251187	否		女	北京     	68.38	72.61	70.21	74.28	58.31	70.33	12328	200	42775980	19329	1383	712933	0.2057	59609
1211113332	38	杨喵菲-米娘	http://weibo.cn/u/1211113332	是	育儿博主 微博签约自媒体	女	其他	68.12	65.13	65.42	69.67	69.35	55.5	3565	139	14356500	62834	9892	287130	0.2639	33372
1242290512	39	夏天的陈小舒	http://weibo.cn/u/1242290512	是	澳大利亚科廷大学公共卫生博士 微博签约自媒体	女	海外     	68.07	68.91	66.68	73.53	61.72	60.6	8086	153	35830008	16256	4043	416628	0.3623	27250
1557392913	40	小多妈Yuki	http://weibo.cn/1557392913/info	是	育儿达人	女	广东 深圳	67.8	70.07	73.82	76.19	56.24	64.48	11525	263	67123290	85774	215	343961	0.292	32782
2399301482	41	医生妈妈欧茜	http://weibo.cn/u/2399301482	是	广州知贝医疗服务儿科医生，知贝儿科创始人，微博签约自媒体	女	广东     	67.72	70.97	65.79	71.12	61.58	70.28	9791	143	20274150	16442	3856	519850	0.1713	32310
