id	account_name	biz	total	yxgm	yxpl	rkd	read_count_d	frequency_d	like_count_d	is_original	qr_code_url	brief_intro
MjM5MDg0OTE0Mw==	卡娃微卡	kawa01	97.12	98.87	92.08	100.0	142847633.0	1446	4569093.0	145.0	http://open.weixin.qq.com/qr/code/?username=kawa01	音乐照片集、音乐微卡！千万粉丝的选择，记录精彩瞬间，串起生活每一刻！
MzA4NDYwMjQxMQ==	妈妈手册	jqfans	95.43	100.0	99.6	85.65	177112090.0	2622	505817.0	0.0	http://open.weixin.qq.com/qr/code/?username=jqfans	关注我，在这里与百万妈妈交流育儿经验，教你如何做一个好妈妈！98%的宝妈都关注了，你还在等什么，点击关注成为优秀妈妈！
MjA1ODMxMDQwMQ==	丁香医生	DingXiangYiSheng	91.66	96.77	87.74	89.33	95966572.0	1026	889388.0	814.0	http://mp.weixin.qq.com/rr?src=3&timestamp=1491291662&ver=1&signature=bpR**wiBT-gYPWxi20Ti5utgflHCN5rDvil*thwPVZsLClcAmi0mLIWrba-IN398NcScibwPP4notK5gImHA1wgE9xbmJi6xDEVJNm*FHn8=	丁香医生是丁香园旗下的健康管理平台.这里有专业医生写的健康科普.身体上的问题，来问丁香医生.
NzQ3MzYxNDAx	南都娱乐周刊	seweekly	90.94	95.85	91.49	84.37	80560518.0	1381	415967.0	496.0	http://mp.weixin.qq.com/rr?src=3&timestamp=1491293270&ver=1&signature=4bcdurPLz3KSZS04H6rB7kjIFOVbmPHJqDztu5jwRE5w8g7LDfyLkK1cKVdiZ2WpN8Ia2qVhZ5qSqACc1zyP-PUEXPu3ofUNpZz2MvfuNZk=	中国娱乐第一刊、《南都娱乐周刊》官方微信账号
MzA5NjkxODM3Ng==	我是妈妈	baopic	90.79	92.76	95.93	83.23	44811688.0	1962	349317.0	0.0	http://open.weixin.qq.com/qr/code/?username=baopic	关注我，在这里与百万妈妈交流育儿经验，教你如何做一个好妈妈！98%的宝妈都关注了，你还在等什么，点击关注成为优秀妈妈！
MzA4MDA5MDUxMA==	教育	edu618	90.09	94.05	90.1	85.23	57157525.0	1237	474668.0	0.0	http://mp.weixin.qq.com/rr?src=3&timestamp=1491292895&ver=1&signature=MU-UTnXOAfuvg4Jdr6JY2YYfl-sWAjuf*uT1bS*PxOiisD2LkG5eNpbQr6O2gHdQVi5WbGD5r72rOqTckyJL5*ItcBFWLEkYqv*iMV7vgzU=	hi我是娇娇妈!专注于亲子教育;就是让孩子健康成长;父母掌握一点;孩子受益一生;每周一堂优质课，等你来哟
MzA4MzYyNTg2OQ==	圈内扒爷	bbbbaye	89.82	96.08	86.72	85.26	84161791.0	947	476346.0	725.0	http://mp.weixin.qq.com/rr?src=3&timestamp=1491292912&ver=1&signature=veDiR*7wvUPsO88IDUOOcy0k9Xv3P0CMzOufHycKtuQhMV8cEZYjp2UN91MtM3Y1ywNZX2py98HuHui2756l0hsED2ArsVYSftyIPaL0JSY=	娱乐有理，吐槽无罪.
MjM5MzAzNTQyMA==	科学家庭育儿	icuiyutao	89.64	95.86	87.39	84.25	80740450.0	998	408053.0	586.0	http://open.weixin.qq.com/qr/code/?username=icuiyutao	国家级出版传媒机构专业团队联合百名育儿专家向平台几百万家庭传播科学育儿理念。育儿无小事，只为做好宝爸宝妈的后援团。关注我们，更多惊喜在每天100000+的阅读中。
MjM5MzI5NzQ1MA==	HUGO	microhugo	89.44	93.53	79.1	94.77	51800518.0	518	2048233.0	0.0	http://mp.weixin.qq.com/rr?src=3&timestamp=1491292879&ver=1&signature=NHivnFZE9L*GEXKhDMX00nsR86Q0fO3QhfOFpflHTunvrbbB*KSjZ1g422g*tDUgql4IQ17V5f2JSw86GK9vii*Ltg2mTRfnbHaQgfPDFXg=	如果有一天你想取消关注，请记得我们曾经相爱过
MjM5NjgwMzE5Mg==	教育百师通	safe01	89.17	95.16	84.11	86.89	70631706.0	770	612388.0	47.0	http://open.weixin.qq.com/qr/code/?username=safe01	提供前沿的教育资讯，实用的教育方法，优质的专家服务。
