id,S1,S2,S3,S4,S5
MjA1ODMxMDQwMQ==,474,650,515,492,534
MjM5MDA4ODQ0MA==,420,351,370,448,435
MjM5MDA5MzYwMA==,271,208,43,44,7
MjM5MDEyOTYyMA==,136,112,115,106,89
MjM5MDIxNjQ4MA==,27,0,150,48,344
MjM5MDIzMjU4NQ==,0,0,0,0,3
MjM5MDIzNTYwNg==,68,116,114,70,136
MjM5MDMxOTIyMA==,325,333,322,306,305
MjM5MDQ1MzUwOQ==,275,270,217,216,263
MjM5MDQ1ODk5NA==,216,186,171,199,207
MjM5MDUyODg0Nw==,2,0,0,0,0
MjM5MDY2NDMzMA==,3,0,4,0,0
MjM5MDcxNTMyMQ==,2,1,7,29,113
MjM5MDcyNzA0NQ==,400,460,460,308,114
MjM5MDczOTQyMw==,138,135,140,129,143
MjM5MDg0OTE0Mw==,1,322,462,687,759
MjM5MDg1OTE0MA==,257,250,243,230,190
MjM5MDk1MDE4MQ==,116,132,127,148,305
MjM5MTA0ODIyMA==,102,124,123,305,270
MjM5MTE3MTM1NQ==,14,27,86,96,96
MjM5MTE4OTMzNw==,47,11,1,1,17
MjM5MTExNzgwMQ==,544,552,552,543,545
MjM5MTI0NjQ0MA==,59,78,138,131,104
MjM5MTI5MzIzMw==,318,454,435,268,265
MjM5MTIwNTYwMg==,202,209,273,288,295
MjM5MTM5MjgxOA==,41,35,45,63,86
MjM5MTQ0MTAwNw==,218,242,457,381,385
MjM5MTQ1MjQzOQ==,205,216,212,197,202
MjM5MTQzNjY4MQ==,123,188,206,200,151
MjM5MTUxMjYyMA==,129,119,98,129,121
MjM5MTY0MTcwMA==,12,19,29,19,21
MjM5MTY5NTgyMw==,40,54,62,57,66
MjM5MTk4OTMyMA==,302,284,313,327,429
MjM5MjA0NzExNg==,42,34,76,68,41
MjM5MjE0MDIwOQ==,259,290,276,222,548
MjM5MjE0MDMxOQ==,5,1,1,5,5
MjM5MjIwNjk0Mg==,283,265,294,312,303
MjM5MjM0OTMxMA==,338,375,385,364,401
MjM5MjQ0MzMwMA==,310,356,358,213,266
MjM5MjQxNzM4Mg==,212,107,119,118,106
MjM5MjQxNzcxMg==,53,66,129,127,153
MjM5MjUxMjE0MQ==,87,104,84,111,96
MjM5Mjc5ODE0MA==,64,66,48,39,43
MjM5MjcxMjM2Mw==,10,4,223,299,180
MjM5MjgwOTI5MQ==,63,63,50,19,10
MjM5MjkwNzg1Nw==,383,377,400,381,347
MjM5MjkzNjc0MA==,6,9,12,9,6
MjM5MzAzNTQyMA==,266,200,191,199,300
MjM5MzE2NTgxMw==,4,4,5,6,9
MjM5MzE5MzYzNg==,3,10,15,24,30
MjM5MzEwMDAyMA==,138,150,139,102,102
MjM5MzEyMzg3Ng==,137,122,153,198,230
MjM5MzI0NTg5MA==,0,7,2,4,4
MjM5MzI5NzQ1MA==,230,235,252,252,266
MjM5MzIwNzA2MA==,79,46,55,51,69
MjM5MzM2NTUzMQ==,18,18,54,42,26
MjM5MzM4NzEwMA==,364,438,481,461,425
MjM5MzMwODQ4MA==,633,521,500,380,498
MjM5MzQ3OTM2MQ==,15,13,16,20,24
MjM5MzQ5MDg2MA==,281,300,292,283,305
MjM5MzQwNzM4Nw==,194,248,242,252,247
MjM5MzU4NjcyNA==,426,526,485,429,453
MjM5MzUzNzY0NQ==,39,43,41,36,42
MjM5MzYwMzg4NQ==,15,9,10,12,12
MjM5MzYxOTUwNQ==,147,137,65,30,155
MjM5Mzc3MDU4OQ==,226,213,229,247,244
MjM5Mzc5OTMwMA==,0,2,0,0,246
MjM5MzczNjM2MA==,44,66,85,75,103
MjM5NDA3MjUzMg==,411,456,400,389,390
MjM5NDA4ODcwMA==,165,211,220,135,183
MjM5NDAxNDY0MA==,209,257,286,268,252
MjM5NDAyNzA0MA==,46,308,469,348,489
MjM5NDE1NDc3OA==,143,154,102,90,88
MjM5NDE5NTc0MA==,335,526,617,648,610
MjM5NDE5OTM4MA==,318,344,341,349,357
MjM5NDIwMDM2Mg==,14,17,15,18,35
MjM5NDQ3NzE4MQ==,0,0,0,2,24
MjM5NDQ4MTU1MA==,448,537,609,689,650
MjM5NDYwNzIxNQ==,450,453,461,417,473
MjM5NDc1NDEyMA==,169,188,219,231,224
MjM5NDcwMzA4Mw==,94,125,119,126,156
MjM5NTA4MTI2MA==,459,459,415,371,388
MjM5NTI3ODI2MQ==,136,163,146,108,153
MjM5NTIwODU3Mg==,0,403,489,318,451
MjM5NTMxNjI2MA==,149,395,328,311,350
MjM5NTU5ODM1Mw==,21,22,27,13,9
