account_id	keywords	value
MjA1ODMxMDQwMQ==	健康	10000.0
MjA1ODMxMDQwMQ==	真相	10000.0
MjA1ODMxMDQwMQ==	身体	9999.99999956
MjA1ODMxMDQwMQ==	到底	9999.99999125
MjA1ODMxMDQwMQ==	方法	9999.99952243
MjA1ODMxMDQwMQ==	不好	9999.99952243
MjA1ODMxMDQwMQ==	痛风	9999.99040778
MjA1ODMxMDQwMQ==	怎么办	9999.99040778
MjA1ODMxMDQwMQ==	食物	9999.99040778
MjA1ODMxMDQwMQ==	医生	9999.99040778
MjA1ODMxMDQwMQ==	癌症	9999.99040778
MjA1ODMxMDQwMQ==	刷牙	9999.80733874
MjA1ODMxMDQwMQ==	减肥	9999.80733874
MjA1ODMxMDQwMQ==	预防	9999.47630973
MjA1ODMxMDQwMQ==	总是	9998.57659034
MjA1ODMxMDQwMQ==	糖尿病	9996.13171749
MjA1ODMxMDQwMQ==	试试	9996.13171749
MjA1ODMxMDQwMQ==	高血压	9989.49190248
MjA1ODMxMDQwMQ==	检查	9971.48751124
MjA1ODMxMDQwMQ==	甲状腺	9971.48751124
MjA1ODMxMDQwMQ==	补钙	9793.0888773
MjA1ODMxMDQwMQ==	牙膏	9793.0888773
MjA1ODMxMDQwMQ==	皮肤	9456.86733867
MjA1ODMxMDQwMQ==	是不是	8649.63577077
MjA1ODMxMDQwMQ==	当心	7020.63369879
MjA1ODMxMDQwMQ==	鸡蛋	7020.63369879
MjA1ODMxMDQwMQ==	体检	7020.63369879
MjA1ODMxMDQwMQ==	营养	7020.63369879
MjA1ODMxMDQwMQ==	运动	7020.63369879
MjA1ODMxMDQwMQ==	致癌	4643.46329166
MjA1ODMxMDQwMQ==	喝水	4643.46329166
MjA1ODMxMDQwMQ==	血糖	4643.46329166
MjA1ODMxMDQwMQ==	睡觉	4643.46329166
MjA1ODMxMDQwMQ==	好处	4643.46329166
MjA1ODMxMDQwMQ==	动作	4643.46329166
MjA1ODMxMDQwMQ==	经常	4643.46329166
MjA1ODMxMDQwMQ==	小心	2417.96172407
MjA1ODMxMDQwMQ==	简单	2417.96172407
MjA1ODMxMDQwMQ==	饭后	2417.96172407
MjA1ODMxMDQwMQ==	冬天	2417.96172407
MjA1ODMxMDQwMQ==	晚上	2417.96172407
MjA1ODMxMDQwMQ==	指甲	2417.96172407
MjA1ODMxMDQwMQ==	结节	2417.96172407
MjA1ODMxMDQwMQ==	饭前	1050.0058502
MjA1ODMxMDQwMQ==	了解	1050.0058502
MjA1ODMxMDQwMQ==	危害	1050.0058502
MjA1ODMxMDQwMQ==	吃饭	1050.0058502
MjA1ODMxMDQwMQ==	熬夜	413.736510601
MjA1ODMxMDQwMQ==	才能	413.736510601
MjA1ODMxMDQwMQ==	误区	413.736510601
MjA1ODMxMDQwMQ==	抗癌	413.736510601
MjA1ODMxMDQwMQ==	文章	413.736510601
MjA1ODMxMDQwMQ==	丁香	413.736510601
MjA1ODMxMDQwMQ==	伤身	413.736510601
MjA1ODMxMDQwMQ==	血压	413.736510601
MjA1ODMxMDQwMQ==	最好	156.292700474
MjA1ODMxMDQwMQ==	忽悠	156.292700474
MjA1ODMxMDQwMQ==	拉肚子	156.292700474
MjA1ODMxMDQwMQ==	疾病	156.292700474
MjA1ODMxMDQwMQ==	内裤	156.292700474
MjA1ODMxMDQwMQ==	常见问题	156.292700474
MjA1ODMxMDQwMQ==	发现	156.292700474
MjA1ODMxMDQwMQ==	怀孕	156.292700474
MjA1ODMxMDQwMQ==	发烧	156.292700474
MjA1ODMxMDQwMQ==	种人	156.292700474
MjA1ODMxMDQwMQ==	便秘	156.292700474
MjA1ODMxMDQwMQ==	千万别	156.292700474
MjA1ODMxMDQwMQ==	膝盖	58.0705844638
MjA1ODMxMDQwMQ==	做好	58.0705844638
MjA1ODMxMDQwMQ==	肚子	58.0705844638
MjA1ODMxMDQwMQ==	水果	58.0705844638
MjA1ODMxMDQwMQ==	血糖高	58.0705844638
MjA1ODMxMDQwMQ==	谣言	58.0705844638
MjA1ODMxMDQwMQ==	打呼噜	58.0705844638
MjA1ODMxMDQwMQ==	应对	58.0705844638
MjA1ODMxMDQwMQ==	饮食	58.0705844638
MjA1ODMxMDQwMQ==	睡眠	58.0705844638
MjA1ODMxMDQwMQ==	痘痘	58.0705844638
MjA1ODMxMDQwMQ==	喝粥	58.0705844638
MjA1ODMxMDQwMQ==	感冒	58.0705844638
MjA1ODMxMDQwMQ==	牙刷	58.0705844638
MjA1ODMxMDQwMQ==	竟然	58.0705844638
MjA1ODMxMDQwMQ==	喝牛奶	58.0705844638
MjA1ODMxMDQwMQ==	食品	58.0705844638
MjA1ODMxMDQwMQ==	多少	58.0705844638
MjA1ODMxMDQwMQ==	症状	58.0705844638
MjA1ODMxMDQwMQ==	发作	58.0705844638
MjA1ODMxMDQwMQ==	牙齿	58.0705844638
MjA1ODMxMDQwMQ==	吃药	58.0705844638
MjA1ODMxMDQwMQ==	记住	21.4416814497
MjA1ODMxMDQwMQ==	咳嗽	21.4416814497
MjA1ODMxMDQwMQ==	喝酒	21.4416814497
MjA1ODMxMDQwMQ==	搞定	21.4416814497
MjA1ODMxMDQwMQ==	尿酸	21.4416814497
MjA1ODMxMDQwMQ==	血脂高	21.4416814497
MjA1ODMxMDQwMQ==	耳屎	21.4416814497
MjA1ODMxMDQwMQ==	冰箱	21.4416814497
MjA1ODMxMDQwMQ==	中招	21.4416814497
MjA1ODMxMDQwMQ==	红酒	21.4416814497
MjA1ODMxMDQwMQ==	习惯	21.4416814497
MjA1ODMxMDQwMQ==	告诉	21.4416814497
MjA1ODMxMDQwMQ==	坏习惯	21.4416814497
MjA1ODMxMDQwMQ==	糖尿病人	21.4416814497
MjA1ODMxMDQwMQ==	热水	21.4416814497
MjA1ODMxMDQwMQ==	乳腺癌	21.4416814497
MjA1ODMxMDQwMQ==	有用吗	21.4416814497
MjA1ODMxMDQwMQ==	小窍门	21.4416814497
MjA1ODMxMDQwMQ==	创可贴	21.4416814497
MjA1ODMxMDQwMQ==	厕所	21.4416814497
MjA1ODMxMDQwMQ==	蔬菜	21.4416814497
MjA1ODMxMDQwMQ==	只有	21.4416814497
MjA1ODMxMDQwMQ==	办法	21.4416814497
MjM5MDA4ODQ0MA==	图解	10000.0
MjM5MDA4ODQ0MA==	毛衣	10000.0
MjM5MDA4ODQ0MA==	教程	10000.0
MjM5MDA4ODQ0MA==	编织	10000.0
MjM5MDA4ODQ0MA==	钩针	10000.0
MjM5MDA4ODQ0MA==	毛线	10000.0
MjM5MDA4ODQ0MA==	你织	10000.0
MjM5MDA4ODQ0MA==	开衫	10000.0
MjM5MDA4ODQ0MA==	棒针	10000.0
MjM5MDA4ODQ0MA==	实用	10000.0
MjM5MDA4ODQ0MA==	围巾	10000.0
MjM5MDA4ODQ0MA==	简单	10000.0
MjM5MDA4ODQ0MA==	新手	9999.99966547
MjM5MDA4ODQ0MA==	一件	9999.98173514
MjM5MDA4ODQ0MA==	披肩	9999.95035112
MjM5MDA4ODQ0MA==	时尚	9992.63684116
MjM5MDA4ODQ0MA==	背心	9992.63684116
MjM5MDA4ODQ0MA==	你会织	9980.01015025
MjM5MDA4ODQ0MA==	花样	9980.01015025
MjM5MDA4ODQ0MA==	麻花	9980.01015025
MjM5MDA4ODQ0MA==	温暖	9854.15653711
MjM5MDA4ODQ0MA==	零线	9613.2483676
MjM5MDA4ODQ0MA==	打底	9613.2483676
MjM5MDA4ODQ0MA==	蕾丝	9014.2105369
MjM5MDA4ODQ0MA==	织毛衣	7708.49604846
MjM5MDA4ODQ0MA==	详细	7708.49604846
MjM5MDA4ODQ0MA==	女士	5530.77949684
MjM5MDA4ODQ0MA==	好织	5530.77949684
MjM5MDA4ODQ0MA==	拼花	5530.77949684
MjM5MDA4ODQ0MA==	学会	3128.37858488
MjM5MDA4ODQ0MA==	套头毛衣	1434.55026138
MjM5MDA4ODQ0MA==	男士	1434.55026138
MjM5MDA4ODQ0MA==	漂亮	580.370006332
MjM5MDA4ODQ0MA==	必看	580.370006332
MjM5MDA4ODQ0MA==	针织	580.370006332
MjM5MDA4ODQ0MA==	轻松	221.637262727
MjM5MDA4ODQ0MA==	提花	30.5814097378
MjM5MDA4ODQ0MA==	惊艳	11.2720621032
MjM5MDA4ODQ0MA==	围脖	6.0
MjM5MDA4ODQ0MA==	冬天	6.0
MjM5MDA4ODQ0MA==	织女	6.0
MjM5MDA4ODQ0MA==	套头衫	6.0
MjM5MDA4ODQ0MA==	手工	6.0
MjM5MDA4ODQ0MA==	衣服	6.0
MjM5MDA4ODQ0MA==	高领	6.0
MjM5MDA4ODQ0MA==	秋冬	6.0
MjM5MDA4ODQ0MA==	2017	6.0
MjM5MDA4ODQ0MA==	连衣裙	6.0
MjM5MDA4ODQ0MA==	款式	6.0
MjM5MDA4ODQ0MA==	人生	6.0
MjM5MDA4ODQ0MA==	神奇	6.0
MjM5MDA4ODQ0MA==	美翻	6.0
MjM5MDA4ODQ0MA==	钩织	6.0
MjM5MDA4ODQ0MA==	生活	6.0
MjM5MDA4ODQ0MA==	一招	6.0
MjM5MDA4ODQ0MA==	帽子	6.0
MjM5MDA4ODQ0MA==	零碎	6.0
MjM5MDA4ODQ0MA==	亲子	6.0
MjM5MDA4ODQ0MA==	休闲	6.0
MjM5MDA4ODQ0MA==	太牛	6.0
MjM5MDA4ODQ0MA==	百搭	6.0
MjM5MDA4ODQ0MA==	经典	6.0
MjM5MDA4ODQ0MA==	福利	6.0
MjM5MDA4ODQ0MA==	女人	6.0
MjM5MDA4ODQ0MA==	必备	6.0
MjM5MDA4ODQ0MA==	外套	6.0
MjM5MDA4ODQ0MA==	千万别	6.0
MjM5MDA4ODQ0MA==	镂空	6.0
MjM5MDA4ODQ0MA==	竟然	6.0
MjM5MDA4ODQ0MA==	段染	6.0
MjM5MDA4ODQ0MA==	N0	6.0
MjM5MDA4ODQ0MA==	搞定	6.0
MjM5MDA4ODQ0MA==	毛线帽	6.0
MjM5MDA4ODQ0MA==	收纳	6.0
MjM5MDA4ODQ0MA==	保暖	6.0
MjM5MDA4ODQ0MA==	一条	6.0
MjM5MDA4ODQ0MA==	搭配	6.0
MjM5MDA4ODQ0MA==	织法	6.0
MjM5MDA4ODQ0MA==	套衫	6.0
MjM5MDA4ODQ0MA==	下织	6.0
MjM5MDA4ODQ0MA==	手作控	6.0
MjM5MDA4ODQ0MA==	萌萌	6.0
MjM5MDA4ODQ0MA==	干净	6.0
MjM5MDA4ODQ0MA==	妈咪	6.0
MjM5MDA4ODQ0MA==	集合	6.0
MjM5MDA4ODQ0MA==	视频	6.0
MjM5MDA4ODQ0MA==	手把手	6.0
MjM5MDA4ODQ0MA==	圆领	6.0
