id,R_S1,R_S2,R_S3,R_S4,R_S5,a_S1,a_S2,a_S3,a_S4,a_S5
MjA1ODMxMDQwMQ==,38318827,50354854,44953942,45237883,50728689,80841,77469,87289,91946,94997
MjM5MDA4ODQ0MA==,8065810,6948048,8705440,15506466,14555902,19204,19795,23528,34612,33461
MjM5MDA5MzYwMA==,242555,155507,32720,28930,3553,895,747,760,657,507
MjM5MDEyOTYyMA==,1300564,912061,1034319,941905,721146,9562,8143,8994,8885,8102
MjM5MDIxNjQ4MA==,1432,0,23464,118957,1375767,53,0,156,2478,3999
MjM5MDIzMjU4NQ==,0,0,0,0,0,0,0,0,0,0
MjM5MDIzNTYwNg==,1306279,1246004,1320416,865065,1212341,19209,10741,11582,12358,8914
MjM5MDMxOTIyMA==,3496272,3357823,3493868,2892494,2627731,10757,10083,10850,9452,8615
MjM5MDQ1MzUwOQ==,4830647,5206315,4768732,3704356,3548911,17565,19282,21975,17149,13493
MjM5MDQ1ODk5NA==,12302415,8865488,8994925,9993067,10374295,56955,47663,52601,50216,50117
MjM5MDUyODg0Nw==,35,0,0,0,0,17,0,0,0,0
MjM5MDY2NDMzMA==,13931,0,12903,0,0,4643,0,3225,0,0
MjM5MDcxNTMyMQ==,626,169,5586,15633,88208,313,169,798,539,780
MjM5MDcyNzA0NQ==,4568813,4423199,4772244,2797363,1755482,11422,9615,10374,9082,15398
MjM5MDczOTQyMw==,155268,129827,124354,96396,98554,1125,961,888,747,689
MjM5MDg0OTE0Mw==,100001,30198433,44244615,66992078,75855555,100001,93783,95767,97513,99941
MjM5MDg1OTE0MA==,1283449,804197,928517,502681,408588,4993,3216,3821,2185,2150
MjM5MDk1MDE4MQ==,6871446,7224911,8599305,8722254,23096897,59236,54734,67711,58934,75727
MjM5MTA0ODIyMA==,192946,167176,164816,283609,205018,1891,1348,1339,929,759
MjM5MTE3MTM1NQ==,134104,397256,1690816,2721688,2873927,9578,14713,19660,28350,29936
MjM5MTE4OTMzNw==,90956,19820,0,1880,30029,1935,1801,0,1880,1766
MjM5MTExNzgwMQ==,5304322,4906822,5287811,4571867,4231052,9750,8889,9579,8419,7763
MjM5MTI0NjQ0MA==,5900059,7800078,13800138,13100131,10400104,100001,100001,100001,100001,100001
MjM5MTI5MzIzMw==,11039279,11713655,10736567,6788077,6228731,34714,25801,24681,25328,23504
MjM5MTIwNTYwMg==,19731514,20686292,27300273,28800288,29500295,97680,98977,100001,100001,100001
MjM5MTM5MjgxOA==,158503,120504,291036,181752,320543,3865,3442,6467,2884,3727
MjM5MTQ0MTAwNw==,5588806,8718417,14544921,12379967,11287122,25636,36026,31826,32493,29317
MjM5MTQ1MjQzOQ==,42097,48161,52455,48809,45882,205,222,247,247,227
MjM5MTQzNjY4MQ==,51112,60793,58600,62287,41690,415,323,284,311,276
MjM5MTUxMjYyMA==,695218,1030742,1831464,2500118,2073981,5389,8661,18688,19380,17140
MjM5MTY0MTcwMA==,566306,1189122,988423,821232,523883,47192,62585,34083,43222,24946
MjM5MTY5NTgyMw==,524943,574185,626831,554343,485014,13123,10633,10110,9725,7348
MjM5MTk4OTMyMA==,10819367,9364192,10979949,9347917,8315959,35825,32972,35079,28586,19384
MjM5MjA0NzExNg==,459451,422747,815010,898946,371846,10939,12433,10723,13219,9069
MjM5MjE0MDIwOQ==,3383639,7623582,10387956,6845353,10721543,13064,26288,37637,30834,19564
MjM5MjE0MDMxOQ==,27520,7706,10543,73414,81372,5504,7706,10543,14682,16274
MjM5MjIwNjk0Mg==,10661516,9172272,10905722,9435035,7601515,37673,34612,37094,30240,25087
MjM5MjM0OTMxMA==,18347793,21290618,22554155,22173081,24116685,54283,56774,58582,60915,60141
MjM5MjQ0MzMwMA==,6087005,5939311,4738970,2057717,2264430,19635,16683,13237,9660,8512
MjM5MjQxNzM4Mg==,1303493,775422,914498,714576,507440,6148,7246,7684,6055,4787
MjM5MjQxNzcxMg==,375245,395895,552891,427032,419094,7080,5998,4285,3362,2739
MjM5MjUxMjE0MQ==,8700087,10372570,8357279,11100111,9600096,100001,99736,99491,100001,100001
MjM5Mjc5ODE0MA==,160636,177671,189703,102459,142726,2509,2691,3952,2627,3319
MjM5MjcxMjM2Mw==,874369,144803,8440108,11723618,11110965,87436,36200,37848,39209,61727
MjM5MjgwOTI5MQ==,1591225,1434776,1439260,964675,536073,25257,22774,51067,112648,107214
