id,l_S1,l_S2,l_S3,l_S4,l_S5,a_S1,a_S2,a_S3,a_S4,a_S5
MjA1ODMxMDQwMQ==,174589,256666,243366,299931,589457,368,394,472,609,1103
MjM5MDA4ODQ0MA==,16913,25571,30530,90795,117839,40,72,82,202,270
MjM5MDA5MzYwMA==,605,436,139,104,5,2,2,3,2,0
MjM5MDEyOTYyMA==,38882,5860,4156,2556,460,285,52,36,24,5
MjM5MDIxNjQ4MA==,8,0,267,331,5316,0,0,1,6,15
MjM5MDIzMjU4NQ==,0,0,0,0,0,0,0,0,0,0
MjM5MDIzNTYwNg==,1759,2391,3067,1721,2576,25,20,26,24,18
MjM5MDMxOTIyMA==,4423,5196,8176,5439,5895,13,15,25,17,19
MjM5MDQ1MzUwOQ==,6044,8312,7210,6548,8845,21,30,33,30,33
MjM5MDQ1ODk5NA==,11398,11775,11142,14201,17270,52,63,65,71,83
MjM5MDUyODg0Nw==,2,0,0,0,0,1,0,0,0,0
MjM5MDY2NDMzMA==,916,0,773,0,0,305,0,193,0,0
MjM5MDcxNTMyMQ==,1,0,38,80,445,0,0,5,2,3
MjM5MDcyNzA0NQ==,3876,4348,4729,3215,4250,9,9,10,10,37
MjM5MDczOTQyMw==,300,537,339,272,337,2,3,2,2,2
MjM5MDg0OTE0Mw==,2000,643789,1233076,2344348,2224745,2000,1999,2668,3412,2931
MjM5MDg1OTE0MA==,4071,3528,3974,1735,1231,15,14,16,7,6
MjM5MDk1MDE4MQ==,67062,60839,72802,80060,315836,578,460,573,540,1035
MjM5MTA0ODIyMA==,316,265,259,299,322,3,2,2,0,1
MjM5MTE3MTM1NQ==,1345,3220,6495,22190,15675,96,119,75,231,163
MjM5MTE4OTMzNw==,160,48,0,3,190,3,4,0,3,11
MjM5MTExNzgwMQ==,41159,44105,42843,43590,41286,75,79,77,80,75
MjM5MTI0NjQ0MA==,443801,559430,1543738,2054793,1959771,7522,7172,11186,15685,18843
MjM5MTI5MzIzMw==,60509,82108,72777,20975,21894,190,180,167,78,82
MjM5MTIwNTYwMg==,193497,258810,424886,456850,605146,957,1238,1556,1586,2051
MjM5MTM5MjgxOA==,1293,958,1228,1816,2235,31,27,27,28,25
MjM5MTQ0MTAwNw==,9075,11485,19623,15446,20249,41,47,42,40,52
MjM5MTQ1MjQzOQ==,260,283,357,462,346,1,1,1,2,1
MjM5MTQzNjY4MQ==,91,223,189,105,196,0,1,0,0,1
MjM5MTUxMjYyMA==,902,1575,3466,3432,4004,6,13,35,26,33
MjM5MTY0MTcwMA==,3501,6961,5766,4541,2500,291,366,198,239,119
MjM5MTY5NTgyMw==,1648,2242,2395,2386,3232,41,41,38,41,48
MjM5MTk4OTMyMA==,70455,63770,73402,95453,77131,233,224,234,291,179
MjM5MjA0NzExNg==,1428,1414,5276,6216,2599,34,41,69,91,63
MjM5MjE0MDIwOQ==,10312,7566,12261,13161,27329,39,26,44,59,49
MjM5MjE0MDMxOQ==,1148,416,857,8039,8459,229,416,857,1607,1691
MjM5MjIwNjk0Mg==,23286,19654,17485,11818,12771,82,74,59,37,42
MjM5MjM0OTMxMA==,63904,90972,316702,317911,251055,189,242,822,873,626
MjM5MjQ0MzMwMA==,5753,9387,8555,6320,5868,18,26,23,29,22
MjM5MjQxNzM4Mg==,686,559,2517,1081,834,3,5,21,9,7
MjM5MjQxNzcxMg==,493,828,701,578,648,9,12,5,4,4
MjM5MjUxMjE0MQ==,41377,62881,51008,48620,43592,475,604,607,438,454
MjM5Mjc5ODE0MA==,408,464,506,377,621,6,7,10,9,14
MjM5MjcxMjM2Mw==,2212,494,27141,49378,79729,221,123,121,165,442
MjM5MjgwOTI5MQ==,4087,6198,14451,5882,10117,64,98,375,586,2023
MjM5MjkwNzg1Nw==,1185,1443,1668,2236,2322,3,3,4,5,6
MjM5MjkzNjc0MA==,3036,7043,15305,6363,4215,506,782,1275,707,702
MjM5MzAzNTQyMA==,74912,55014,83294,54118,149885,281,275,436,271,499
MjM5MzE2NTgxMw==,352,1109,1871,1018,3563,88,277,374,169,395
MjM5MzE5MzYzNg==,787,6465,32790,42308,18325,262,646,2186,1762,610
MjM5MzEwMDAyMA==,68643,72412,81319,62716,46396,497,482,585,614,454
MjM5MzEyMzg3Ng==,6270,7855,11263,17506,19220,45,64,73,88,83
MjM5MzI0NTg5MA==,0,2685,2075,2533,1745,0,383,1037,633,436
MjM5MzI5NzQ1MA==,340508,605292,880776,951995,1096238,1480,2575,3495,3777,4121
MjM5MzIwNzA2MA==,101,85,103,80,295,1,1,1,1,4
MjM5MzM2NTUzMQ==,3439,4011,10726,10475,4589,191,222,198,249,176
MjM5MzM4NzEwMA==,2607,6204,8715,10125,9705,7,14,18,21,22
