b.user_id	帮宝适	大王	好奇	花王	尤妮佳	其他
MjA1ODMxMDQwMQ==	1	0	0	0	0	0
MjM5MDA4ODQ0MA==	0	0	0	0	0	1
MjM5MDA5MzYwMA==	2	0	0	0	0	2
MjM5MDcxNTMyMQ==	0	0	0	0	0	0
MjM5MDcyNzA0NQ==	5	3	5	6	4	31
MjM5MDczOTQyMw==	14	0	0	0	0	65
MjM5MDEyOTYyMA==	0	0	0	0	0	2
MjM5MDg0OTE0Mw==	0	0	0	0	0	4
MjM5MDg1OTE0MA==	17	4	1	1	1	23
MjM5MDIxNjQ4MA==	0	1	0	0	0	4
MjM5MDIzNTYwNg==	0	0	0	0	0	0
MjM5MDk1MDE4MQ==	0	0	0	0	0	18
MjM5MDMxOTIyMA==	12	5	7	24	10	41
MjM5MDQ1MzUwOQ==	1	0	1	1	1	14
MjM5MDQ1ODk5NA==	0	0	0	3	32	2
MjM5MjA0NzExNg==	1	1	1	0	1	1
MjM5Mjc5ODE0MA==	0	0	0	0	0	6
MjM5MjcxMjM2Mw==	0	0	0	0	1	7
MjM5MjE0MDIwOQ==	1	0	0	2	0	1
MjM5MjE0MDMxOQ==	0	0	0	0	0	0
MjM5MjgwOTI5MQ==	0	0	0	0	0	0
MjM5MjIwNjk0Mg==	0	0	0	0	0	4
MjM5MjkwNzg1Nw==	0	0	0	0	0	18
MjM5MjkzNjc0MA==	1	0	0	0	0	0
MjM5MjM0OTMxMA==	0	0	0	0	2	8
MjM5MjQ0MzMwMA==	10	1	0	2	1	8
MjM5MjQxNzcxMg==	2	13	1	2	5	11
MjM5MjQxNzM4Mg==	0	6	0	0	2	10
MjM5MjUxMjE0MQ==	2	0	0	0	0	4
MjM5MTA0ODIyMA==	0	0	0	0	5	1
MjM5MTE3MTM1NQ==	2	0	0	1	0	6
MjM5MTE4OTMzNw==	0	0	0	0	0	0
MjM5MTExNzgwMQ==	0	1	0	0	0	12
MjM5MTI0NjQ0MA==	0	0	0	0	0	4
MjM5MTI5MzIzMw==	1	1	0	4	1	0
MjM5MTIwNTYwMg==	0	0	0	0	0	4
MjM5MTk4OTMyMA==	0	0	0	0	0	4
MjM5MTM5MjgxOA==	0	0	0	0	0	0
MjM5MTQ0MTAwNw==	17	0	0	5	0	62
MjM5MTQ1MjQzOQ==	0	0	0	0	0	7
MjM5MTQzNjY4MQ==	0	0	0	0	0	0
MjM5MTUxMjYyMA==	1	9	5	20	16	13
MjM5MTY0MTcwMA==	0	0	0	0	0	0
MjM5MTY5NTgyMw==	0	0	0	0	0	0
MjM5Mzc3MDU4OQ==	0	0	0	0	0	2
MjM5Mzc5OTMwMA==	0	0	0	0	0	1
MjM5MzczNjM2MA==	0	0	0	0	0	0
MjM5MzE2NTgxMw==	0	0	0	0	0	0
MjM5MzE5MzYzNg==	1	0	0	0	0	0
MjM5MzEwMDAyMA==	0	0	0	0	3	33
MjM5MzI0NTg5MA==	0	0	0	0	0	0
MjM5MzI5NzQ1MA==	0	0	0	0	0	11
MjM5MzIwNzA2MA==	1	2	2	4	0	11
MjM5MzM2NTUzMQ==	0	0	0	0	0	2
MjM5MzM4NzEwMA==	3	7	1	13	8	23
MjM5MzMwODQ4MA==	7	0	2	5	1	861
MjM5MzQ3OTM2MQ==	0	0	0	0	0	0
MjM5MzQ5MDg2MA==	0	0	0	0	0	2
MjM5MzQwNzM4Nw==	1	0	1	2	9	2
MjM5MzU4NjcyNA==	1	0	0	1	0	10
MjM5MzUzNzY0NQ==	0	0	0	0	0	1
MjM5MzYwMzg4NQ==	3	0	0	0	0	0
MjM5MzYxOTUwNQ==	8	0	0	1	1	10
MjM5NDA3MjUzMg==	0	0	0	1	0	9
MjM5NDA4ODcwMA==	10	3	2	2	4	15
MjM5NDAxNDY0MA==	5	0	0	4	14	5
MjM5NDAyNzA0MA==	5	0	0	0	0	48
MjM5NDc1NDEyMA==	0	0	0	0	0	1
MjM5NDcwMzA4Mw==	0	0	0	1	0	2
MjM5NDE1NDc3OA==	0	0	0	0	0	0
MjM5NDE5NTc0MA==	7	1	0	4	7	15
MjM5NDE5OTM4MA==	16	1	5	0	2	23
MjM5NDIwMDM2Mg==	0	0	2	2	0	3
MjM5NDQ3NzE4MQ==	0	0	0	0	0	0
MjM5NDQ4MTU1MA==	7	0	0	1	0	2
MjM5NDYwNzIxNQ==	0	0	0	0	0	6
MjM5NjA0ODQwMA==	3	0	1	0	1	6
MjM5Njc3NDgyMA==	1	5	0	1	0	4
MjM5Njc4MTA4MA==	0	0	0	0	0	0
MjM5NjgwMzE5Mg==	0	0	0	0	0	2
MjM5NjI4MDU4NA==	4	3	2	1	2	31
MjM5Njk3NzYzOQ==	0	0	0	0	0	0
MjM5NjM4MzQyMA==	10	1	3	7	1	47
MjM5NjY0ODQ4MA==	36	37	23	16	15	70
MjM5NjY4Nzk4MA==	0	0	0	0	0	0
