b.user_id	纸尿裤	儿童餐具	儿童早教与玩具	辅食	奶粉	其他
MjA1ODMxMDQwMQ==	36	15	19	21	33	38
MjM5MDA4ODQ0MA==	3	4	16	0	6	325
MjM5MDA5MzYwMA==	90	66	136	64	84	252
MjM5MDcxNTMyMQ==	2	1	5	1	0	4
MjM5MDcyNzA0NQ==	369	294	319	372	277	606
MjM5MDczOTQyMw==	204	135	162	168	275	215
MjM5MDEyOTYyMA==	62	53	93	76	40	197
MjM5MDg0OTE0Mw==	14	6	6	2	9	92
MjM5MDg1OTE0MA==	238	234	2409	194	279	575
MjM5MDIxNjQ4MA==	113	269	372	299	81	170
MjM5MDIzNTYwNg==	398	157	316	367	209	391
MjM5MDk1MDE4MQ==	27	5	17	2	7	43
MjM5MDMxOTIyMA==	397	406	910	455	263	797
MjM5MDQ1MzUwOQ==	67	58	271	930	41	226
MjM5MDQ1ODk5NA==	53	44	22	24	65	65
MjM5MjA0NzExNg==	4	5	13	12	9	8
MjM5Mjc5ODE0MA==	19	12	399	12	16	98
MjM5MjcxMjM2Mw==	28	16	571	10	19	140
MjM5MjE0MDIwOQ==	291	154	130	677	118	186
MjM5MjE0MDMxOQ==	1	0	1	0	2	0
MjM5MjgwOTI5MQ==	36	23	40	40	24	115
MjM5MjIwNjk0Mg==	96	54	78	53	70	241
MjM5MjkwNzg1Nw==	85	53	594	34	60	591
MjM5MjkzNjc0MA==	2	1	3	0	4	6
MjM5MjM0OTMxMA==	29	10	30	8	28	59
MjM5MjQ0MzMwMA==	88	90	209	70	60	290
MjM5MjQxNzcxMg==	582	571	946	743	153	1181
MjM5MjQxNzM4Mg==	122	51	811	25	73	128
MjM5MjUxMjE0MQ==	10	3	10	2	13	58
MjM5MTA0ODIyMA==	91	60	244	208	61	139
MjM5MTE3MTM1NQ==	42	33	88	38	36	66
MjM5MTE4OTMzNw==	30	28	18	20	12	24
MjM5MTExNzgwMQ==	36	20	46	13	46	186
MjM5MTI0NjQ0MA==	14	4	14	3	13	43
MjM5MTI5MzIzMw==	14	5	37	9	42	15
MjM5MTIwNTYwMg==	12	3	5	0	27	33
MjM5MTk4OTMyMA==	48	20	221	17	30	209
MjM5MTM5MjgxOA==	5	2	127	3	4	24
MjM5MTQ0MTAwNw==	226	103	127	54	59	138
MjM5MTQ1MjQzOQ==	45	77	96	129	68	242
MjM5MTQzNjY4MQ==	19	13	109	10	11	78
MjM5MTUxMjYyMA==	207	248	322	944	141	476
MjM5MTY0MTcwMA==	0	0	0	0	3	0
MjM5MTY5NTgyMw==	6	6	50	2	5	43
MjM5Mzc3MDU4OQ==	71	124	106	307	150	176
MjM5Mzc5OTMwMA==	18	9	25	10	14	65
MjM5MzczNjM2MA==	4	0	2	0	6	12
MjM5MzE2NTgxMw==	1	0	0	0	1	3
MjM5MzE5MzYzNg==	6	1	7	3	6	9
MjM5MzEwMDAyMA==	44	0	4	0	20	73
MjM5MzI0NTg5MA==	2	0	5	1	5	3
MjM5MzI5NzQ1MA==	24	5	14	5	23	110
MjM5MzIwNzA2MA==	60	30	67	15	25	86
MjM5MzM2NTUzMQ==	8	2	7	2	1	18
MjM5MzM4NzEwMA==	173	84	259	84	131	351
MjM5MzMwODQ4MA==	1011	183	1874	218	361	598
MjM5MzQ3OTM2MQ==	0	1	4	5	10	6
MjM5MzQ5MDg2MA==	346	307	492	761	222	895
MjM5MzQwNzM4Nw==	21	10	19	7	55	61
MjM5MzU4NjcyNA==	138	53	479	56	46	218
MjM5MzUzNzY0NQ==	17	27	14	17	11	26
MjM5MzYwMzg4NQ==	6	4	6	4	14	12
MjM5MzYxOTUwNQ==	260	59	143	54	49	255
MjM5NDA3MjUzMg==	59	24	1775	15	36	288
MjM5NDA4ODcwMA==	187	189	451	179	164	516
MjM5NDAxNDY0MA==	32	8	8	5	107	43
MjM5NDAyNzA0MA==	99	21	508	25	38	252
MjM5NDc1NDEyMA==	15	11	60	26	31	36
MjM5NDcwMzA4Mw==	20	4	274	2	16	87
MjM5NDE1NDc3OA==	28	38	86	61	28	62
MjM5NDE5NTc0MA==	1099	220	914	822	356	669
MjM5NDE5OTM4MA==	179	102	177	116	142	351
MjM5NDIwMDM2Mg==	9	17	11	12	85	11
MjM5NDQ3NzE4MQ==	0	0	0	1	0	1
MjM5NDQ4MTU1MA==	1028	217	858	2608	339	349
MjM5NDYwNzIxNQ==	181	151	382	155	114	610
MjM5NjA0ODQwMA==	97	81	134	131	99	237
MjM5Njc3NDgyMA==	108	183	198	66	85	153
MjM5Njc4MTA4MA==	0	0	0	0	1	1
MjM5NjgwMzE5Mg==	30	16	122	3	19	306
MjM5NjI4MDU4NA==	255	237	911	140	196	760
MjM5Njk3NzYzOQ==	1	0	3	0	1	0
MjM5NjM4MzQyMA==	341	283	635	315	313	794
MjM5NjY0ODQ4MA==	385	147	423	121	413	334
MjM5NjY4Nzk4MA==	12	8	591	2	9	120
MjM5NTA4MTI2MA==	219	103	236	169	150	386
MjM5NTc4NTI3NQ==	53	51	66	56	38	150
MjM5NTczMTcyNQ==	44	3	2	0	7	28
