id,o_S1,o_S2,o_S3,o_S4,o_S5,a_S1,a_S2,a_S3,a_S4,a_S5
MjA1ODMxMDQwMQ==,301,369,320,377,437,0.635021097046,0.567692307692,0.621359223301,0.766260162602,0.818352059925
MjM5MDA4ODQ0MA==,1,1,37,87,73,0.00238095238095,0.002849002849,0.1,0.194196428571,0.167816091954
MjM5MDA5MzYwMA==,0,11,0,0,0,0.0,0.0528846153846,0.0,0.0,0.0
MjM5MDEyOTYyMA==,2,3,0,0,2,0.0147058823529,0.0267857142857,0.0,0.0,0.0224719101124
MjM5MDIxNjQ4MA==,0,0,1,3,33,0.0,0.0,0.00666666666667,0.0625,0.0959302325581
MjM5MDIzMjU4NQ==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MjM5MDIzNTYwNg==,41,90,82,52,126,0.602941176471,0.775862068966,0.719298245614,0.742857142857,0.926470588235
MjM5MDMxOTIyMA==,13,8,3,5,1,0.04,0.024024024024,0.00931677018634,0.016339869281,0.00327868852459
MjM5MDQ1MzUwOQ==,30,22,18,17,4,0.109090909091,0.0814814814815,0.0829493087558,0.0787037037037,0.0152091254753
MjM5MDQ1ODk5NA==,193,155,163,195,195,0.893518518519,0.833333333333,0.953216374269,0.979899497487,0.942028985507
MjM5MDUyODg0Nw==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MjM5MDY2NDMzMA==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MjM5MDcxNTMyMQ==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MjM5MDcyNzA0NQ==,2,4,15,4,7,0.005,0.00869565217391,0.0326086956522,0.012987012987,0.0614035087719
MjM5MDczOTQyMw==,0,1,0,0,0,0.0,0.00740740740741,0.0,0.0,0.0
MjM5MDg0OTE0Mw==,0,26,29,75,70,0.0,0.0807453416149,0.0627705627706,0.109170305677,0.0922266139657
MjM5MDg1OTE0MA==,5,35,4,19,23,0.0194552529183,0.14,0.0164609053498,0.0826086956522,0.121052631579
MjM5MDk1MDE4MQ==,71,86,87,77,89,0.612068965517,0.651515151515,0.685039370079,0.52027027027,0.291803278689
MjM5MTA0ODIyMA==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MjM5MTE3MTM1NQ==,9,24,62,66,56,0.642857142857,0.888888888889,0.720930232558,0.6875,0.583333333333
MjM5MTE4OTMzNw==,21,6,0,0,15,0.446808510638,0.545454545455,0.0,0.0,0.882352941176
MjM5MTExNzgwMQ==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MjM5MTI0NjQ0MA==,48,78,136,130,102,0.813559322034,1.0,0.985507246377,0.992366412214,0.980769230769
MjM5MTI5MzIzMw==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
